charge_id,account_id,batch_id,charge_date,charge_type,charge_amount,generated_at
CHG-000001,ACCT-000001,B0001,2025-12-25,Tax Surcharge,386.29,2026-07-12T19:44:37+00:00
CHG-000002,ACCT-000001,B0001,2025-12-27,Base Fee,310.04,2026-07-12T19:44:37+00:00
CHG-000003,ACCT-000001,B0001,2025-12-27,Tax Surcharge,299.66,2026-07-12T19:44:37+00:00
CHG-000004,ACCT-000001,B0001,2025-12-29,Rider,124.3,2026-07-12T19:44:37+00:00
CHG-000005,ACCT-000002,B0001,2026-01-05,Tax Surcharge,72.8,2026-07-12T19:44:37+00:00
CHG-000006,ACCT-000002,B0001,2026-01-11,Delivery,171.55,2026-07-12T19:44:37+00:00
CHG-000007,ACCT-000002,B0001,2026-01-03,Delivery,160.21,2026-07-12T19:44:37+00:00
CHG-000008,ACCT-000003,B0001,2026-01-03,Tax Surcharge,32.8,2026-07-12T19:44:37+00:00
CHG-000009,ACCT-000003,B0001,2025-12-22,Tax Surcharge,269.28,2026-07-12T19:44:37+00:00
CHG-000010,ACCT-000003,B0001,2025-12-31,Energy,250.52,2026-07-12T19:44:37+00:00
CHG-000011,ACCT-000003,B0001,2026-01-06,Rider,294.6,2026-07-12T19:44:37+00:00
CHG-000012,ACCT-000004,B0001,2026-01-11,Tax Surcharge,370.04,2026-07-12T19:44:37+00:00
CHG-000013,ACCT-000004,B0001,2026-01-15,Rider,389.87,2026-07-12T19:44:37+00:00
CHG-000014,ACCT-000004,B0001,2025-12-25,Energy,75.01,2026-07-12T19:44:37+00:00
CHG-000015,ACCT-000004,B0001,2025-12-26,Rider,108.93,2026-07-12T19:44:37+00:00
CHG-000016,ACCT-000005,B0001,2026-01-07,Energy,328.22,2026-07-12T19:44:37+00:00
CHG-000017,ACCT-000005,B0001,2026-01-15,Tax Surcharge,54.13,2026-07-12T19:44:37+00:00
CHG-000018,ACCT-000005,B0001,2026-01-04,Delivery,64.96,2026-07-12T19:44:37+00:00
CHG-000019,ACCT-000005,B0001,2025-12-22,Energy,40.33,2026-07-12T19:44:37+00:00
CHG-000020,ACCT-000006,B0001,2025-12-25,Energy,389.6,2026-07-12T19:44:37+00:00
CHG-000021,ACCT-000006,B0001,2026-01-09,Rider,187.93,2026-07-12T19:44:37+00:00
CHG-000022,ACCT-000006,B0001,2025-12-22,Base Fee,129.96,2026-07-12T19:44:37+00:00
CHG-000023,ACCT-000006,B0001,2025-12-27,Tax Surcharge,95.06,2026-07-12T19:44:37+00:00
CHG-000024,ACCT-000007,B0001,2026-01-13,Tax Surcharge,179.15,2026-07-12T19:44:37+00:00
CHG-000025,ACCT-000007,B0001,2026-01-12,Base Fee,99.33,2026-07-12T19:44:37+00:00
CHG-000026,ACCT-000008,B0001,2025-12-24,Delivery,305.4,2026-07-12T19:44:37+00:00
CHG-000027,ACCT-000008,B0001,2026-01-10,Tax Surcharge,197.0,2026-07-12T19:44:37+00:00
CHG-000028,ACCT-000008,B0001,2025-12-27,Tax Surcharge,336.86,2026-07-12T19:44:37+00:00
CHG-000029,ACCT-000008,B0001,2026-01-01,Rider,195.89,2026-07-12T19:44:37+00:00
CHG-000030,ACCT-000008,B0001,2025-12-27,Tax Surcharge,336.86,2026-07-12T19:44:37+00:00
CHG-000031,ACCT-000009,B0001,2026-01-10,Rider,159.01,2026-07-12T19:44:37+00:00
CHG-000032,ACCT-000009,B0001,2026-01-04,Base Fee,243.04,2026-07-12T19:44:37+00:00
CHG-000033,ACCT-000009,B0001,2026-01-07,Tax Surcharge,201.05,2026-07-12T19:44:37+00:00
CHG-000034,ACCT-000010,B0001,2026-01-01,Energy,80.98,2026-07-12T19:44:37+00:00
CHG-000035,ACCT-000010,B0001,2026-01-06,Delivery,285.02,2026-07-12T19:44:37+00:00
CHG-000036,ACCT-000010,B0001,2025-12-24,Delivery,220.67,2026-07-12T19:44:37+00:00
CHG-000037,ACCT-000010,B0001,2025-12-25,Tax Surcharge,261.84,2026-07-12T19:44:37+00:00
CHG-000038,ACCT-000010,B0001,2025-12-24,Delivery,220.67,2026-07-12T19:44:37+00:00
CHG-000039,ACCT-000011,B0001,2026-01-12,Delivery,226.79,2026-07-12T19:44:37+00:00
CHG-000040,ACCT-000011,B0001,2026-01-12,Tax Surcharge,141.33,2026-07-12T19:44:37+00:00
CHG-000041,ACCT-000012,B0001,2026-01-12,Delivery,214.14,2026-07-12T19:44:37+00:00
CHG-000042,ACCT-000012,B0001,2026-01-08,Base Fee,137.59,2026-07-12T19:44:37+00:00
CHG-000043,ACCT-000012,B0001,2026-01-06,Energy,370.05,2026-07-12T19:44:37+00:00
CHG-000044,ACCT-000013,B0001,2026-01-12,Energy,396.21,2026-07-12T19:44:37+00:00
